94,99,89,94,0,88,95,83,84,93
97,99,97,94,0,99,95,95,73,99
99,100,96,85,0,91,96,98,84,90
99,100,91,98,0,96,97,96,92,88
94,100,97,96,0,99,94,91,88,95
96,99,95,98,0,93,97,95,86,91
97,98,95,94,0,97,92,94,93,94
94,99,97,96,0,97,100,96,92,92
99,99,97,94,0,93,98,86,89,95
99,94,94,93,0,91,98,93,97,88
99,98,86,97,0,92,98,94,86,94
99,100,90,87,0,87,91,92,96,92
99,99,91,95,0,97,97,87,88,94
97,99,98,95,0,88,99,98,68,89
96,97,96,95,0,96,98,96,89,89
96,97,86,94,0,82,99,99,79,72
97,90,90,97,0,89,98,95,94,92
95,99,75,85,0,94,100,98,65,78
97,99,94,94,0,96,98,93,85,90
90,98,95,98,0,94,99,97,77,95
90,93,98,88,0,71,97,88,97,84
99,98,87,95,0,94,94,99,90,82
99,99,97,88,0,95,99,98,79,84
99,98,85,97,0,96,97,99,89,92
97,99,89,95,0,96,95,96,89,90
99,99,96,95,0,97,93,97,90,94
98,99,98,84,0,95,96,97,95,90
93,99,92,87,0,90,99,88,87,89
94,99,98,94,0,96,84,92,73,91
