10,10,11,11,11,13,22,39,60,74,80,81
10,7,10,11,13,18,25,36,51,69,79,84
10,10,10,10,10,16,25,37,54,71,80,83
10,9,9,11,16,20,29,47,65,78,85,85
10,5,10,12,13,20,33,49,67,79,84,85
10,9,8,8,20,34,45,60,73,83,85,85
13,9,8,7,16,24,29,42,60,75,83,85
10,8,14,12,17,30,41,55,69,80,84,86
10,7,12,12,18,24,29,49,67,77,82,85
10,11,10,13,16,22,35,52,67,77,82,84
10,5,15,12,15,22,30,46,62,76,82,84
10,10,12,10,11,13,17,32,52,74,81,83
10,10,10,10,15,25,35,50,65,76,81,84
10,10,15,11,13,22,34,45,59,71,80,83
10,8,10,10,16,27,36,47,63,76,83,85
10,9,11,16,16,24,31,42,60,70,77,80
10,10,9,10,18,22,31,51,68,78,82,84
10,10,12,10,11,17,21,30,44,62,73,78
10,11,12,11,12,17,25,39,60,76,83,84
10,9,12,14,19,25,31,43,61,74,81,84
10,9,12,16,16,22,29,41,55,68,76,80
10,10,10,13,14,19,25,38,59,75,83,83
10,12,7,13,18,23,29,41,59,72,81,83
13,11,9,12,14,20,25,39,59,77,82,85
10,10,9,14,14,19,26,37,57,74,82,84
10,11,9,12,14,21,27,39,60,76,83,86
10,5,11,12,13,18,24,38,59,77,84,85
10,11,6,10,11,16,20,30,51,69,78,82
10,10,11,12,11,14,20,31,49,68,76,82
